Title,Year,Genres,Runtime,Rating,Metascore,Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
The Road,2009.0,"['Adventure', 'Drama']",111.0,7.3,64.0,177852.0,60000.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Adventures of Tintin,2011.0,"['Action', 'Adventure', 'Family']",107.0,7.4,68.0,177678.0,77560000.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Munich,2005.0,"['Drama', 'History', 'Thriller']",164.0,7.6,74.0,177316.0,47380000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
The Tourist,2010.0,"['Action', 'Romance', 'Thriller']",103.0,6.0,37.0,177135.0,67630000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
The Beach,2000.0,"['Adventure', 'Drama', 'Romance']",119.0,6.6,43.0,176729.0,39780000.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Kiss Kiss Bang Bang,2005.0,"['Comedy', 'Crime', 'Mystery']",103.0,7.6,72.0,176704.0,4240000.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
The Sting,1973.0,"['Comedy', 'Crime', 'Drama']",129.0,8.3,,176197.0,159600000.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Daredevil,2003.0,"['Action', 'Crime', 'Drama']",103.0,5.3,42.0,176190.0,430000.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shakespeare in Love,1998.0,"['Comedy', 'Drama', 'Romance']",123.0,7.2,87.0,175882.0,100240000.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Oz the Great and Powerful,2013.0,"['Adventure', 'Family', 'Fantasy']",130.0,6.4,44.0,175731.0,234900000.0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
